formula,year,Radio,IR,UV/Vis,authors,total,C,H,N,O,Si,S,Cl,Mg,Na,Al,K,F,P,Li,Fe,disputed,Ti,D,Ar,Cr,V,He,Ca,radical?
c-C3H,1987,True,False,False,"['S Yamamoto', 'S Saito', 'M Ohishi', 'H Suzuki', 'I Ishikawa', 'N Kaifu', 'A Murakami']",4,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
PN,1987,True,False,False,"['E Turner', 'J Bally', 'M Ziurys']",2,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,False
CH3NC,1988,True,False,False,"['J Cernicharo', 'C Kahane', 'M Guélin', 'J Gomez', 'I High', 'P Gratier', 'J Pety', 'V Guzmán', 'M Gerin', 'R Goicoechea', 'E Roueff', 'A Faure']",6,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
C3,1988,False,True,False,"['H Hinkle', 'J Keady', 'F Bernath', 'J Cernicharo', 'R Goicoechea', 'E Caux']",3,3.0,,,,,,,,,,,,,,,,,,,,,,,False
CH2CN,1988,True,False,False,"['M Irvine', 'P Friberg', 'S Ishikawa', 'N Kaifu', 'K Kawaguchi', 'C Madden', 'E Matthews', 'M Ohishi', 'S Saito', 'H Suzuki', 'P Thaddeus', 'E Turner', 'S Yamamoto', 'M Ziurys']",5,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,True
HC2CHO,1988,True,False,False,"['M Irvine', 'D Brown', 'M Craig', 'P Friberg', 'D Godfrey', 'N Kaifu', 'E Matthews', 'M Ohishi', 'H Suzuki', 'H Takeo']",6,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,False
C5,1989,False,True,False,"['F Bernath', 'H Hinkle', 'J Keady']",5,5.0,,,,,,,,,,,,,,,,,,,,,,,False
SiC,1989,True,False,False,"['J Cernicharo', 'A Gottlieb', 'M Guélin', 'P Thaddeus', 'M Vrtilek']",2,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,False
SiC4,1989,True,False,False,"['M Ohishi', 'N Kaifu', 'K Kawaguchi', 'A Murakami', 'S Saito', 'S Yamamoto', 'I Ishikawa', 'Y Fujita', 'S Shiratori', 'M Irvine']",5,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,False
CO2,1989,False,True,False,['M Jourdain'],3,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,False
CH2,1989,True,False,False,"['M Hollis', 'R Jewell', 'J Lovas', 'M Hollis', 'R Jewell', 'J Lovas']",3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
CP,1990,True,False,False,"['M Guélin', 'J Cernicharo', 'G Paubert', 'E Turner']",2,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,True
H2CCC,1991,True,False,False,"['J Cernicharo', 'A Gottlieb', 'C Killian', 'G Paubert', 'P Thaddeus', 'M Vrtilek']",5,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
H2CCCC,1991,True,False,False,"['J Cernicharo', 'A Gottlieb', 'C Killian', 'P Thaddeus', 'M Vrtilek']",6,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
HC2N,1991,True,False,False,"['M Guélin', 'J Cernicharo']",4,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
NH,1991,False,False,True,"['M Meyer', 'C Roth']",2,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
CH4,1991,False,True,False,"['H Lacy', 'S Carr', 'J Evans', 'F Baas', 'M Achtermann', 'F Arens']",5,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
C2O,1991,True,False,False,"['M Ohishi', 'H Suzuki', 'I Ishikawa', 'C Yamada', 'H Kanamori', 'M Irvine', 'D Brown', 'D Godfrey', 'N Kaifu']",3,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,False
HCCNC,1992,True,False,False,"['K Kawaguchi', 'M Ohishi', 'I Ishikawa', 'N Kaifu']",5,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
SiN,1992,True,False,False,['E Turner'],2,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,True
HNCCC,1992,True,False,False,"['K Kawaguchi', 'S Takano', 'M Ohishi', 'I Ishikawa', 'K Miyazawa', 'N Kaifu', 'K Yamashita', 'S Yamamoto', 'S Saito', 'Y Ohshima', 'Y Endo']",5,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
SO+,1992,True,False,False,['E Turner'],2,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,True
NH2,1993,True,False,False,"['J Jansen', 'P Schilke', 'G Phillips']",3,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,True
CO+,1993,True,False,False,"['B Latter', 'K Walker', 'R Maloney']",2,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,True
HC3NH+,1994,True,False,False,"['K Kawaguchi', 'Y Kasai', 'I Ishikawa', 'M Ohishi', 'N Kaifu', 'T Amano']",6,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,False
H2CN,1994,True,False,False,"['M Ohishi', 'D McGonagle', 'M Irvine', 'S Yamamoto']",4,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,True
NaCN,1994,True,False,False,"['E Turner', 'C Steimle', 'L Meerts']",3,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,False
N2O,1994,True,False,False,"['M Ziurys', 'J Apponi', 'M Hollis']",3,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,False
MgCN,1995,True,False,False,"['M Ziurys', 'J Apponi', 'M Guélin', 'J Cernicharo']",3,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,True
C8H,1996,True,False,False,"['J Cernicharo', 'M Guélin']",9,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
H3+,1996,False,True,False,['R Geballe'],3,,3.0,,,,,,,,,,,,,,,,,,,,,,False
